-1.19224,0.151324,-0.0292911,-1.17807,0.129947,-0.0208008,-1.16289,0.117162,-0.021636,-1.14708,0.10542,-0.0226184,-1.07821,0.090309,0.028075,
-1.18577,0.148708,-0.0311588,-1.17201,0.127054,-0.0226989,-1.15709,0.113971,-0.0235663,-1.14152,0.101918,-0.0245821,-1.07343,0.0857169,0.0260915,
-1.17923,0.146181,-0.0329626,-1.16589,0.124251,-0.0245337,-1.15124,0.110864,-0.025438,-1.13592,0.0984935,-0.026493,-1.06858,0.0811074,0.024129,
-1.17269,0.143822,-0.0346589,-1.15979,0.12162,-0.0262632,-1.14544,0.107926,-0.0272112,-1.13038,0.0952333,-0.028313,-1.06374,0.0765611,0.0222219,
-1.16626,0.141684,-0.0361993,-1.1538,0.119219,-0.0278349,-1.13975,0.105218,-0.028831,-1.12498,0.0922023,-0.0299851,-1.05901,0.0721732,0.0204061,
-1.16001,0.13981,-0.037557,-1.14799,0.117091,-0.0292279,-1.13425,0.102786,-0.030281,-1.11977,0.0894515,-0.0314976,-1.05443,0.0679998,0.0187224,
-1.15401,0.138226,-0.0387088,-1.14245,0.115265,-0.0304155,-1.12903,0.100662,-0.0315313,-1.11485,0.0870123,-0.0328173,-1.0501,0.0641297,0.0171863,
-1.14837,0.136947,-0.0396631,-1.13724,0.113754,-0.0314067,-1.12415,0.0988581,-0.0325897,-1.11029,0.0848991,-0.0339503,-1.04609,0.0606059,0.0158255,
-1.14311,0.135955,-0.0404255,-1.13243,0.112541,-0.032209,-1.11968,0.097361,-0.0334642,-1.10613,0.0831002,-0.034905,-1.04245,0.0574672,0.0146393,
-1.1383,0.135229,-0.0410195,-1.12807,0.111603,-0.0328439,-1.11566,0.0961472,-0.034173,-1.10244,0.0815926,-0.0356959,-1.03924,0.0547402,0.0136279,
-1.13396,0.134743,-0.0414768,-1.12417,0.110915,-0.0333431,-1.11211,0.0951929,-0.0347464,-1.09922,0.0803543,-0.0363518,-1.03646,0.0524537,0.0127735,
