-1.30459,0.394953,-0.00247588,-1.15249,0.144622,-0.0275367,-1.14838,0.139768,-0.0275807,-1.14405,0.134129,-0.0279123,-1.13976,0.128559,-0.0282988,-1.12599,0.109489,-0.0188581,-0.971975,0.136197,0.00552653,
-1.29323,0.39451,-0.00409949,-1.14616,0.14122,-0.0294875,-1.14215,0.136286,-0.0295402,-1.13794,0.130562,-0.029881,-1.13375,0.124908,-0.0302768,-1.12053,0.10614,-0.0209989,-0.965752,0.128011,0.00335295,
-1.28153,0.394148,-0.00568632,-1.13977,0.137881,-0.0313984,-1.13586,0.132865,-0.0314606,-1.13177,0.127057,-0.0318112,-1.1277,0.121318,-0.0322166,-1.11498,0.102799,-0.023091,-0.959546,0.119604,0.00111196,
-1.26963,0.393914,-0.00718353,-1.13341,0.134691,-0.0332315,-1.12961,0.129593,-0.0333043,-1.12565,0.123699,-0.0336657,-1.1217,0.117875,-0.0340819,-1.10943,0.0995294,-0.0250933,-0.953478,0.111111,-0.00116827,
-1.25766,0.393836,-0.00858925,-1.12718,0.13171,-0.0349373,-1.12349,0.126532,-0.0350211,-1.11965,0.120554,-0.0353932,-1.11584,0.114645,-0.0358201,-1.10397,0.0963993,-0.0269748,-0.94765,0.10266,-0.00346284,
-1.24576,0.393926,-0.00982391,-1.12115,0.128991,-0.0364981,-1.11757,0.123734,-0.0365946,-1.11387,0.117673,-0.0369789,-1.11018,0.111683,-0.0374181,-1.09868,0.0934597,-0.028685,-0.942154,0.0943807,-0.00572239,
-1.23402,0.394201,-0.0108951,-1.11539,0.126564,-0.0378832,-1.11193,0.121229,-0.0379931,-1.10837,0.115088,-0.0383902,-1.10482,0.109018,-0.0388421,-1.09365,0.0907543,-0.0302275,-0.937091,0.086454,-0.00790731,
-1.22255,0.394664,-0.011796,-1.11,0.124443,-0.0390932,-1.10666,0.119034,-0.0392172,-1.10323,0.112816,-0.0396275,-1.09982,0.106669,-0.0400927,-1.08898,0.088312,-0.031573,-0.932532,0.0790188,-0.00996672,
-1.21143,0.395283,-0.0125072,-1.10503,0.122619,-0.0401314,-1.10181,0.117138,-0.0402705,-1.09852,0.110846,-0.040695,-1.09524,0.104625,-0.0411743,-1.08472,0.0861556,-0.0327254,-0.928523,0.0722137,-0.0118705,
-1.20074,0.396031,-0.0130591,-1.10052,0.121068,-0.0410096,-1.09742,0.115519,-0.0411641,-1.09427,0.109155,-0.0416029,-1.09113,0.102864,-0.0420966,-1.08095,0.0842896,-0.0337025,-0.925091,0.0661274,-0.0135802,
